"ccq_builds_in_sonar_period","sonar_start_date","sonar_end_date","sonar_duration","project","median_bugs","median_vulnerabilities","median_code_smells","median_sqale_index","median_sqale_ratio","median_duplicated_lines_density","median_coverage","median_ncloc","last_ncloc","max_ncloc","median_bugs_density","median_vulnerabilities_density","median_code_smells_density","commits_in_sonnar_period","commits_per_day","commits_per_day_density","commits_total_activity_days","median_ci_time_running","max_ci_time_running","median_ci_duration","max_ci_duration","median_ci_time_to_fix","max_ci_time_to_fix","ci_builds_failures","ci_builds_in_sonar_period","ci_builds_total_activity_days","ccq_ratio_updated","ci_activity"
128,"2019-03-19T14:51:44+0100","2019-07-29T10:05:09+0200",131,"indigo-iam/iam",0,0,293,10799,1.2,2.6,84.7,29489,29489,29489,0,0,0.00993590830479162,0,0,0,0,679,1205,679,1205,72092,173160,41,223,128,0.573991031390135,0.977099236641221
104,"2019-05-23T17:07:52+0200","2019-07-19T12:31:19+0200",56,"chaturanga50/opsworks-cli",0,0,0,0,0,0,79.6,542,542,542,0,0,0,0,0,0,0,142.5,452,372,1053,404,166960,21,109,12,0.954128440366973,0.214285714285714
40,"2019-03-23T22:32:26+0100","2019-06-15T19:08:59+0200",83,"enriqzAlejandro/ludis-backend",0,0,2,20,0,0.4,37.9,3489,3510,3510,0,0,0.00057323015190599,0,0,0,0,75,267,75,267,NULL,NULL,0,53,14,0.754716981132076,0.168674698795181
80,"2018-11-15T02:51:21+0100","2019-06-15T11:45:01+0200",212,"yourtion/node-erest",0,0,0,0,0,0,95.5,2073.5,2113,2113,0,0,0,0,0,0,0,297,1790,615,981,98958.5,1716455,14,106,61,0.754716981132076,0.287735849056604
88,"2018-12-02T19:00:12+0100","2019-06-14T19:09:15+0200",193,"gruelbox/dropwizard-https-redirect",0,0,0,0,0,0,82.3,361,361,361,0,0,0,0,0,0,0,118,366,128,464,112,327494,8,105,20,0.838095238095238,0.103626943005181
72,"2019-03-23T21:11:08+0100","2019-07-15T18:35:52+0200",113,"phantauth/phantauth-service",0,0,20,596,0.3,0,69.1,5743,5936,5936,0,0,0.00336927223719677,0,0,0,0,195,369,195,369,13038.5,20675,14,103,16,0.699029126213592,0.141592920353982
120,"2019-04-24T05:33:04+0200","2019-06-14T05:32:01+0200",50,"max-cong/medis",0,0,0,0,0,1.2,52.65,3732.5,4372,4372,0,0,0,0,0,0,0,167,311,166,311,1885,260306,40,178,25,0.674157303370786,0.5
144,"2018-12-29T18:34:59+0100","2019-06-12T20:30:13+0200",165,"sonar-perl/sonar-perl",0,0,16,100,0.2,0,92.4,2016.5,2063,2063,0,0,0.00776322173702086,0,0,0,0,375,1057,369,1057,1316.5,5404308,47,167,19,0.862275449101796,0.115151515151515
24,"2019-06-11T18:19:21+0200","2019-07-22T08:22:43+0200",40,"samueldple/datetimekt",0,0,0,0,0,0,92.3,585,585,585,0,0,0,0,0,0,0,190,390,190,390,NULL,NULL,0,29,4,0.827586206896552,0.1
96,"2018-12-06T14:00:11+0100","2019-06-11T13:08:44+0200",186,"nut-tree/nut.js",0,0,4,45.5,0.1,0,92.6,1591,1837,1837,0,0,0.00381056069678824,0,0,0,0,255,541,255,541,316,427006,19,135,26,0.711111111111111,0.139784946236559
